sentence,label
move 36 degree upwards,"-36,0,0"
move 37 degree upwards,"-37,0,0"
move 38 degree upwards,"-38,0,0"
move 39 degree upwards,"-39,0,0"
move 40 degree upwards,"-40,0,0"
move 41 degree upwards,"-41,0,0"
move 42 degree upwards,"-42,0,0"
move 43 degree upwards,"-43,0,0"
move 44 degree upwards,"-44,0,0"
move 45 degree upwards,"-45,0,0"
move 46 degree upwards,"-46,0,0"
move 47 degree upwards,"-47,0,0"
move 48 degree upwards,"-48,0,0"
move 49 degree upwards,"-49,0,0"
move 50 degree upwards,"-50,0,0"
move 51 degree upwards,"-51,0,0"
move 52 degree upwards,"-52,0,0"
move 53 degree upwards,"-53,0,0"
move 54 degree upwards,"-54,0,0"
move 55 degree upwards,"-55,0,0"
move 56 degree upwards,"-56,0,0"
move 57 degree upwards,"-57,0,0"
move 58 degree upwards,"-58,0,0"
move 59 degree upwards,"-59,0,0"
move 60 degree upwards,"-60,0,0"
move 61 degree upwards,"-61,0,0"
move 62 degree upwards,"-62,0,0"
move 63 degree upwards,"-63,0,0"
move 64 degree upwards,"-64,0,0"
move 65 degree upwards,"-65,0,0"
move 66 degree upwards,"-66,0,0"
move 67 degree upwards,"-67,0,0"
move 68 degree upwards,"-68,0,0"
move 69 degree upwards,"-69,0,0"
move 70 degree upwards,"-70,0,0"
move 71 degree upwards,"-71,0,0"
move 72 degree upwards,"-72,0,0"
move 73 degree upwards,"-73,0,0"
move 74 degree upwards,"-74,0,0"
move 75 degree upwards,"-75,0,0"
move 76 degree upwards,"-76,0,0"
move 77 degree upwards,"-77,0,0"
move 78 degree upwards,"-78,0,0"
move 79 degree upwards,"-79,0,0"
move 80 degree upwards,"-80,0,0"
move 81 degree upwards,"-81,0,0"
move 82 degree upwards,"-82,0,0"
move 83 degree upwards,"-83,0,0"
move 84 degree upwards,"-84,0,0"
move 85 degree upwards,"-85,0,0"
move 86 degree upwards,"-86,0,0"
move 87 degree upwards,"-87,0,0"
move 88 degree upwards,"-88,0,0"
move 89 degree upwards,"-89,0,0"
move 90 degree upwards,"-90,0,0"
move 91 degree upwards,"-91,0,0"
move 92 degree upwards,"-92,0,0"
move 93 degree upwards,"-93,0,0"
move 94 degree upwards,"-94,0,0"
move 95 degree upwards,"-95,0,0"
move 96 degree upwards,"-96,0,0"
move 97 degree upwards,"-97,0,0"
move 98 degree upwards,"-98,0,0"
move 99 degree upwards,"-99,0,0"
move 100 degree upwards,"-100,0,0"
move 101 degree upwards,"-101,0,0"
move 102 degree upwards,"-102,0,0"
move 103 degree upwards,"-103,0,0"
move 104 degree upwards,"-104,0,0"
move 105 degree upwards,"-105,0,0"
move 106 degree upwards,"-106,0,0"
move 107 degree upwards,"-107,0,0"
move 108 degree upwards,"-108,0,0"
move 109 degree upwards,"-109,0,0"
move 110 degree upwards,"-110,0,0"
move 111 degree upwards,"-111,0,0"
move 112 degree upwards,"-112,0,0"
move 113 degree upwards,"-113,0,0"
move 114 degree upwards,"-114,0,0"
move 115 degree upwards,"-115,0,0"
move 116 degree upwards,"-116,0,0"
move 117 degree upwards,"-117,0,0"
move 118 degree upwards,"-118,0,0"
move 119 degree upwards,"-119,0,0"
move 120 degree upwards,"-120,0,0"
move 121 degree upwards,"-121,0,0"
move 122 degree upwards,"-122,0,0"
move 123 degree upwards,"-123,0,0"
move 124 degree upwards,"-124,0,0"
move 125 degree upwards,"-125,0,0"
move 126 degree upwards,"-126,0,0"
move 127 degree upwards,"-127,0,0"
move 128 degree upwards,"-128,0,0"
move 129 degree upwards,"-129,0,0"
move 130 degree upwards,"-130,0,0"
move 131 degree upwards,"-131,0,0"
move 132 degree upwards,"-132,0,0"
move 133 degree upwards,"-133,0,0"
move 134 degree upwards,"-134,0,0"
move 135 degree upwards,"-135,0,0"
move 136 degree upwards,"-136,0,0"
move 137 degree upwards,"-137,0,0"
move 138 degree upwards,"-138,0,0"
move 139 degree upwards,"-139,0,0"
move 140 degree upwards,"-140,0,0"
move 141 degree upwards,"-141,0,0"
move 142 degree upwards,"-142,0,0"
move 143 degree upwards,"-143,0,0"
move 144 degree upwards,"-144,0,0"
move 145 degree upwards,"-145,0,0"
move 146 degree upwards,"-146,0,0"
move 147 degree upwards,"-147,0,0"
move 148 degree upwards,"-148,0,0"
move 149 degree upwards,"-149,0,0"
move 150 degree upwards,"-150,0,0"
move 151 degree upwards,"-151,0,0"
move 152 degree upwards,"-152,0,0"
move 153 degree upwards,"-153,0,0"
move 154 degree upwards,"-154,0,0"
move 155 degree upwards,"-155,0,0"
move 156 degree upwards,"-156,0,0"
move 157 degree upwards,"-157,0,0"
move 158 degree upwards,"-158,0,0"
move 159 degree upwards,"-159,0,0"
move 160 degree upwards,"-160,0,0"
move 161 degree upwards,"-161,0,0"
move 162 degree upwards,"-162,0,0"
move 163 degree upwards,"-163,0,0"
move 164 degree upwards,"-164,0,0"
move 165 degree upwards,"-165,0,0"
move 166 degree upwards,"-166,0,0"
move 167 degree upwards,"-167,0,0"
move 168 degree upwards,"-168,0,0"
move 169 degree upwards,"-169,0,0"
move 170 degree upwards,"-170,0,0"
move 171 degree upwards,"-171,0,0"
move 172 degree upwards,"-172,0,0"
move 173 degree upwards,"-173,0,0"
move 174 degree upwards,"-174,0,0"
move 175 degree upwards,"-175,0,0"
move 176 degree upwards,"-176,0,0"
move 177 degree upwards,"-177,0,0"
move 178 degree upwards,"-178,0,0"
move 179 degree upwards,"-179,0,0"
move 180 degree upwards,"-180,0,0"
move 181 degree upwards,"-181,0,0"
move 182 degree upwards,"-182,0,0"
move 183 degree upwards,"-183,0,0"
move 184 degree upwards,"-184,0,0"
move 185 degree upwards,"-185,0,0"
move 186 degree upwards,"-186,0,0"
move 187 degree upwards,"-187,0,0"
move 188 degree upwards,"-188,0,0"
move 189 degree upwards,"-189,0,0"
move 190 degree upwards,"-190,0,0"
move 191 degree upwards,"-191,0,0"
move 192 degree upwards,"-192,0,0"
move 193 degree upwards,"-193,0,0"
move 194 degree upwards,"-194,0,0"
move 195 degree upwards,"-195,0,0"
move 196 degree upwards,"-196,0,0"
move 197 degree upwards,"-197,0,0"
move 198 degree upwards,"-198,0,0"
move 199 degree upwards,"-199,0,0"
move 200 degree upwards,"-200,0,0"
move 201 degree upwards,"-201,0,0"
move 202 degree upwards,"-202,0,0"
move 203 degree upwards,"-203,0,0"
move 204 degree upwards,"-204,0,0"
move 205 degree upwards,"-205,0,0"
move 206 degree upwards,"-206,0,0"
move 207 degree upwards,"-207,0,0"
move 208 degree upwards,"-208,0,0"
move 209 degree upwards,"-209,0,0"
move 210 degree upwards,"-210,0,0"
move 211 degree upwards,"-211,0,0"
move 212 degree upwards,"-212,0,0"
move 213 degree upwards,"-213,0,0"
move 214 degree upwards,"-214,0,0"
move 215 degree upwards,"-215,0,0"
move 216 degree upwards,"-216,0,0"
move 217 degree upwards,"-217,0,0"
move 218 degree upwards,"-218,0,0"
move 219 degree upwards,"-219,0,0"
move 220 degree upwards,"-220,0,0"
move 221 degree upwards,"-221,0,0"
move 222 degree upwards,"-222,0,0"
move 223 degree upwards,"-223,0,0"
move 224 degree upwards,"-224,0,0"
move 225 degree upwards,"-225,0,0"
move 226 degree upwards,"-226,0,0"
move 227 degree upwards,"-227,0,0"
move 228 degree upwards,"-228,0,0"
move 229 degree upwards,"-229,0,0"
move 230 degree upwards,"-230,0,0"
move 231 degree upwards,"-231,0,0"
move 232 degree upwards,"-232,0,0"
move 233 degree upwards,"-233,0,0"
move 234 degree upwards,"-234,0,0"
move 235 degree upwards,"-235,0,0"
move 236 degree upwards,"-236,0,0"
move 237 degree upwards,"-237,0,0"
move 238 degree upwards,"-238,0,0"
move 239 degree upwards,"-239,0,0"
move 240 degree upwards,"-240,0,0"
move 241 degree upwards,"-241,0,0"
move 242 degree upwards,"-242,0,0"
move 243 degree upwards,"-243,0,0"
move 244 degree upwards,"-244,0,0"
move 245 degree upwards,"-245,0,0"
move 246 degree upwards,"-246,0,0"
move 247 degree upwards,"-247,0,0"
move 248 degree upwards,"-248,0,0"
move 249 degree upwards,"-249,0,0"
move 250 degree upwards,"-250,0,0"
move 251 degree upwards,"-251,0,0"
move 252 degree upwards,"-252,0,0"
move 253 degree upwards,"-253,0,0"
move 254 degree upwards,"-254,0,0"
move 255 degree upwards,"-255,0,0"
move 256 degree upwards,"-256,0,0"
move 257 degree upwards,"-257,0,0"
move 258 degree upwards,"-258,0,0"
move 259 degree upwards,"-259,0,0"
move 260 degree upwards,"-260,0,0"
move 261 degree upwards,"-261,0,0"
move 262 degree upwards,"-262,0,0"
move 263 degree upwards,"-263,0,0"
move 264 degree upwards,"-264,0,0"
move 265 degree upwards,"-265,0,0"
move 266 degree upwards,"-266,0,0"
move 267 degree upwards,"-267,0,0"
move 268 degree upwards,"-268,0,0"
move 269 degree upwards,"-269,0,0"
move 270 degree upwards,"-270,0,0"
move 271 degree upwards,"-271,0,0"
move 272 degree upwards,"-272,0,0"
move 273 degree upwards,"-273,0,0"
move 274 degree upwards,"-274,0,0"
move 275 degree upwards,"-275,0,0"
move 276 degree upwards,"-276,0,0"
move 277 degree upwards,"-277,0,0"
move 278 degree upwards,"-278,0,0"
move 279 degree upwards,"-279,0,0"
move 280 degree upwards,"-280,0,0"
move 281 degree upwards,"-281,0,0"
move 282 degree upwards,"-282,0,0"
move 283 degree upwards,"-283,0,0"
move 284 degree upwards,"-284,0,0"
move 285 degree upwards,"-285,0,0"
move 286 degree upwards,"-286,0,0"
move 287 degree upwards,"-287,0,0"
move 288 degree upwards,"-288,0,0"
move 289 degree upwards,"-289,0,0"
move 290 degree upwards,"-290,0,0"
move 291 degree upwards,"-291,0,0"
move 292 degree upwards,"-292,0,0"
move 293 degree upwards,"-293,0,0"
move 294 degree upwards,"-294,0,0"
move 295 degree upwards,"-295,0,0"
move 296 degree upwards,"-296,0,0"
move 297 degree upwards,"-297,0,0"
move 298 degree upwards,"-298,0,0"
move 299 degree upwards,"-299,0,0"
move 300 degree upwards,"-300,0,0"
move 301 degree upwards,"-301,0,0"
move 302 degree upwards,"-302,0,0"
move 303 degree upwards,"-303,0,0"
move 304 degree upwards,"-304,0,0"
move 305 degree upwards,"-305,0,0"
move 306 degree upwards,"-306,0,0"
move 307 degree upwards,"-307,0,0"
move 308 degree upwards,"-308,0,0"
move 309 degree upwards,"-309,0,0"
move 310 degree upwards,"-310,0,0"
move 311 degree upwards,"-311,0,0"
move 312 degree upwards,"-312,0,0"
move 313 degree upwards,"-313,0,0"
move 314 degree upwards,"-314,0,0"
move 315 degree upwards,"-315,0,0"
move 316 degree upwards,"-316,0,0"
move 317 degree upwards,"-317,0,0"
move 318 degree upwards,"-318,0,0"
move 319 degree upwards,"-319,0,0"
move 320 degree upwards,"-320,0,0"
move 321 degree upwards,"-321,0,0"
move 322 degree upwards,"-322,0,0"
move 323 degree upwards,"-323,0,0"
move 324 degree upwards,"-324,0,0"
move 325 degree upwards,"-325,0,0"
move 326 degree upwards,"-326,0,0"
move 327 degree upwards,"-327,0,0"
move 328 degree upwards,"-328,0,0"
move 329 degree upwards,"-329,0,0"
move 330 degree upwards,"-330,0,0"
move 331 degree upwards,"-331,0,0"
move 332 degree upwards,"-332,0,0"
move 333 degree upwards,"-333,0,0"
move 334 degree upwards,"-334,0,0"
move 335 degree upwards,"-335,0,0"
move 336 degree upwards,"-336,0,0"
move 337 degree upwards,"-337,0,0"
move 338 degree upwards,"-338,0,0"
move 339 degree upwards,"-339,0,0"
move 340 degree upwards,"-340,0,0"
move 341 degree upwards,"-341,0,0"
move 342 degree upwards,"-342,0,0"
move 343 degree upwards,"-343,0,0"
move 344 degree upwards,"-344,0,0"
move 345 degree upwards,"-345,0,0"
move 346 degree upwards,"-346,0,0"
move 347 degree upwards,"-347,0,0"
move 348 degree upwards,"-348,0,0"
move 349 degree upwards,"-349,0,0"
move 350 degree upwards,"-350,0,0"
move 351 degree upwards,"-351,0,0"
move 352 degree upwards,"-352,0,0"
move 353 degree upwards,"-353,0,0"
move 354 degree upwards,"-354,0,0"
move 355 degree upwards,"-355,0,0"
move 356 degree upwards,"-356,0,0"
move 357 degree upwards,"-357,0,0"
move 358 degree upwards,"-358,0,0"
move 359 degree upwards,"-359,0,0"
move 360 degree upwards,"-360,0,0"
move 1 degree downwards,"1,0,0"
move 2 degree downwards,"2,0,0"
move 3 degree downwards,"3,0,0"
move 4 degree downwards,"4,0,0"
move 5 degree downwards,"5,0,0"
move 6 degree downwards,"6,0,0"
move 7 degree downwards,"7,0,0"
move 8 degree downwards,"8,0,0"
move 9 degree downwards,"9,0,0"
move 10 degree downwards,"10,0,0"
move 11 degree downwards,"11,0,0"
move 12 degree downwards,"12,0,0"
move 13 degree downwards,"13,0,0"
move 14 degree downwards,"14,0,0"
move 15 degree downwards,"15,0,0"
move 16 degree downwards,"16,0,0"
move 17 degree downwards,"17,0,0"
move 18 degree downwards,"18,0,0"
move 19 degree downwards,"19,0,0"
move 20 degree downwards,"20,0,0"
move 21 degree downwards,"21,0,0"
move 22 degree downwards,"22,0,0"
move 23 degree downwards,"23,0,0"
move 24 degree downwards,"24,0,0"
move 25 degree downwards,"25,0,0"
move 26 degree downwards,"26,0,0"
move 27 degree downwards,"27,0,0"
move 28 degree downwards,"28,0,0"
move 29 degree downwards,"29,0,0"
move 30 degree downwards,"30,0,0"
move 31 degree downwards,"31,0,0"
move 32 degree downwards,"32,0,0"
move 33 degree downwards,"33,0,0"
move 34 degree downwards,"34,0,0"
move 35 degree downwards,"35,0,0"
move 36 degree downwards,"36,0,0"
move 37 degree downwards,"37,0,0"
move 38 degree downwards,"38,0,0"
move 39 degree downwards,"39,0,0"
move 40 degree downwards,"40,0,0"
move 41 degree downwards,"41,0,0"
move 42 degree downwards,"42,0,0"
move 43 degree downwards,"43,0,0"
move 44 degree downwards,"44,0,0"
move 45 degree downwards,"45,0,0"
move 46 degree downwards,"46,0,0"
move 47 degree downwards,"47,0,0"
move 48 degree downwards,"48,0,0"
move 49 degree downwards,"49,0,0"
move 50 degree downwards,"50,0,0"
move 51 degree downwards,"51,0,0"
move 52 degree downwards,"52,0,0"
move 53 degree downwards,"53,0,0"
move 54 degree downwards,"54,0,0"
move 55 degree downwards,"55,0,0"
move 56 degree downwards,"56,0,0"
move 57 degree downwards,"57,0,0"
move 58 degree downwards,"58,0,0"
move 59 degree downwards,"59,0,0"
move 60 degree downwards,"60,0,0"
move 61 degree downwards,"61,0,0"
move 62 degree downwards,"62,0,0"
move 63 degree downwards,"63,0,0"
move 64 degree downwards,"64,0,0"
move 65 degree downwards,"65,0,0"
move 66 degree downwards,"66,0,0"
move 67 degree downwards,"67,0,0"
move 68 degree downwards,"68,0,0"
move 69 degree downwards,"69,0,0"
move 70 degree downwards,"70,0,0"
move 71 degree downwards,"71,0,0"
move 72 degree downwards,"72,0,0"
move 73 degree downwards,"73,0,0"
move 74 degree downwards,"74,0,0"
move 75 degree downwards,"75,0,0"
move 76 degree downwards,"76,0,0"
move 77 degree downwards,"77,0,0"
move 78 degree downwards,"78,0,0"
move 79 degree downwards,"79,0,0"
move 80 degree downwards,"80,0,0"
move 81 degree downwards,"81,0,0"
move 82 degree downwards,"82,0,0"
move 83 degree downwards,"83,0,0"
move 84 degree downwards,"84,0,0"
move 85 degree downwards,"85,0,0"
move 86 degree downwards,"86,0,0"
move 87 degree downwards,"87,0,0"
move 88 degree downwards,"88,0,0"
move 89 degree downwards,"89,0,0"
move 90 degree downwards,"90,0,0"
move 91 degree downwards,"91,0,0"
move 92 degree downwards,"92,0,0"
move 93 degree downwards,"93,0,0"
move 94 degree downwards,"94,0,0"
move 95 degree downwards,"95,0,0"
move 96 degree downwards,"96,0,0"
move 97 degree downwards,"97,0,0"
move 98 degree downwards,"98,0,0"
move 99 degree downwards,"99,0,0"
move 100 degree downwards,"100,0,0"
move 101 degree downwards,"101,0,0"
move 102 degree downwards,"102,0,0"
move 103 degree downwards,"103,0,0"
move 104 degree downwards,"104,0,0"
move 105 degree downwards,"105,0,0"
move 106 degree downwards,"106,0,0"
move 107 degree downwards,"107,0,0"
move 108 degree downwards,"108,0,0"
move 109 degree downwards,"109,0,0"
move 110 degree downwards,"110,0,0"
move 111 degree downwards,"111,0,0"
move 112 degree downwards,"112,0,0"
move 113 degree downwards,"113,0,0"
move 114 degree downwards,"114,0,0"
move 115 degree downwards,"115,0,0"
move 116 degree downwards,"116,0,0"
move 117 degree downwards,"117,0,0"
move 118 degree downwards,"118,0,0"
move 119 degree downwards,"119,0,0"
move 120 degree downwards,"120,0,0"
move 121 degree downwards,"121,0,0"
move 122 degree downwards,"122,0,0"
move 123 degree downwards,"123,0,0"
move 124 degree downwards,"124,0,0"
move 125 degree downwards,"125,0,0"
move 126 degree downwards,"126,0,0"
move 127 degree downwards,"127,0,0"
move 128 degree downwards,"128,0,0"
move 129 degree downwards,"129,0,0"
move 130 degree downwards,"130,0,0"
move 131 degree downwards,"131,0,0"
move 132 degree downwards,"132,0,0"
move 133 degree downwards,"133,0,0"
move 134 degree downwards,"134,0,0"
move 135 degree downwards,"135,0,0"
move 136 degree downwards,"136,0,0"
move 137 degree downwards,"137,0,0"
move 138 degree downwards,"138,0,0"
move 139 degree downwards,"139,0,0"
move 140 degree downwards,"140,0,0"
move 141 degree downwards,"141,0,0"
move 142 degree downwards,"142,0,0"
move 143 degree downwards,"143,0,0"
move 144 degree downwards,"144,0,0"
move 145 degree downwards,"145,0,0"
move 146 degree downwards,"146,0,0"
move 147 degree downwards,"147,0,0"
move 148 degree downwards,"148,0,0"
move 149 degree downwards,"149,0,0"
move 150 degree downwards,"150,0,0"
move 151 degree downwards,"151,0,0"
move 152 degree downwards,"152,0,0"
move 153 degree downwards,"153,0,0"
move 154 degree downwards,"154,0,0"
move 155 degree downwards,"155,0,0"
move 156 degree downwards,"156,0,0"
move 157 degree downwards,"157,0,0"
move 158 degree downwards,"158,0,0"
move 159 degree downwards,"159,0,0"
move 160 degree downwards,"160,0,0"
move 161 degree downwards,"161,0,0"
move 162 degree downwards,"162,0,0"
move 163 degree downwards,"163,0,0"
move 164 degree downwards,"164,0,0"
move 165 degree downwards,"165,0,0"
move 166 degree downwards,"166,0,0"
move 167 degree downwards,"167,0,0"
move 168 degree downwards,"168,0,0"
move 169 degree downwards,"169,0,0"
move 170 degree downwards,"170,0,0"
move 171 degree downwards,"171,0,0"
move 172 degree downwards,"172,0,0"
move 173 degree downwards,"173,0,0"
move 174 degree downwards,"174,0,0"
move 175 degree downwards,"175,0,0"
move 176 degree downwards,"176,0,0"
move 177 degree downwards,"177,0,0"
move 178 degree downwards,"178,0,0"
move 179 degree downwards,"179,0,0"
move 180 degree downwards,"180,0,0"
move 181 degree downwards,"181,0,0"
move 182 degree downwards,"182,0,0"
move 183 degree downwards,"183,0,0"
move 184 degree downwards,"184,0,0"
move 185 degree downwards,"185,0,0"
move 186 degree downwards,"186,0,0"
move 187 degree downwards,"187,0,0"
move 188 degree downwards,"188,0,0"
move 189 degree downwards,"189,0,0"
move 190 degree downwards,"190,0,0"
move 191 degree downwards,"191,0,0"
move 192 degree downwards,"192,0,0"
move 193 degree downwards,"193,0,0"
move 194 degree downwards,"194,0,0"
move 195 degree downwards,"195,0,0"
move 196 degree downwards,"196,0,0"
move 197 degree downwards,"197,0,0"
move 198 degree downwards,"198,0,0"
move 199 degree downwards,"199,0,0"
move 200 degree downwards,"200,0,0"
move 201 degree downwards,"201,0,0"
move 202 degree downwards,"202,0,0"
move 203 degree downwards,"203,0,0"
move 204 degree downwards,"204,0,0"
move 205 degree downwards,"205,0,0"
move 206 degree downwards,"206,0,0"
move 207 degree downwards,"207,0,0"
move 208 degree downwards,"208,0,0"
move 209 degree downwards,"209,0,0"
move 210 degree downwards,"210,0,0"
move 211 degree downwards,"211,0,0"
move 212 degree downwards,"212,0,0"
move 213 degree downwards,"213,0,0"
move 214 degree downwards,"214,0,0"
move 215 degree downwards,"215,0,0"
move 216 degree downwards,"216,0,0"
move 217 degree downwards,"217,0,0"
move 218 degree downwards,"218,0,0"
move 219 degree downwards,"219,0,0"
move 220 degree downwards,"220,0,0"
move 221 degree downwards,"221,0,0"
move 222 degree downwards,"222,0,0"
move 223 degree downwards,"223,0,0"
move 224 degree downwards,"224,0,0"
move 225 degree downwards,"225,0,0"
move 226 degree downwards,"226,0,0"
move 227 degree downwards,"227,0,0"
move 228 degree downwards,"228,0,0"
move 229 degree downwards,"229,0,0"
move 230 degree downwards,"230,0,0"
move 231 degree downwards,"231,0,0"
move 232 degree downwards,"232,0,0"
move 233 degree downwards,"233,0,0"
move 234 degree downwards,"234,0,0"
move 235 degree downwards,"235,0,0"
move 236 degree downwards,"236,0,0"
move 237 degree downwards,"237,0,0"
move 238 degree downwards,"238,0,0"
move 239 degree downwards,"239,0,0"
move 240 degree downwards,"240,0,0"
move 241 degree downwards,"241,0,0"
move 242 degree downwards,"242,0,0"
move 243 degree downwards,"243,0,0"
move 244 degree downwards,"244,0,0"
move 245 degree downwards,"245,0,0"
move 246 degree downwards,"246,0,0"
move 247 degree downwards,"247,0,0"
move 248 degree downwards,"248,0,0"
move 249 degree downwards,"249,0,0"
move 250 degree downwards,"250,0,0"
move 251 degree downwards,"251,0,0"
move 252 degree downwards,"252,0,0"
move 253 degree downwards,"253,0,0"
move 254 degree downwards,"254,0,0"
move 255 degree downwards,"255,0,0"
move 256 degree downwards,"256,0,0"
move 257 degree downwards,"257,0,0"
move 258 degree downwards,"258,0,0"
move 259 degree downwards,"259,0,0"
move 260 degree downwards,"260,0,0"
move 261 degree downwards,"261,0,0"
move 262 degree downwards,"262,0,0"
move 263 degree downwards,"263,0,0"
move 264 degree downwards,"264,0,0"
move 265 degree downwards,"265,0,0"
move 266 degree downwards,"266,0,0"
move 267 degree downwards,"267,0,0"
move 268 degree downwards,"268,0,0"
move 269 degree downwards,"269,0,0"
move 270 degree downwards,"270,0,0"
move 271 degree downwards,"271,0,0"
move 272 degree downwards,"272,0,0"
move 273 degree downwards,"273,0,0"
move 274 degree downwards,"274,0,0"
move 275 degree downwards,"275,0,0"
move 276 degree downwards,"276,0,0"
move 277 degree downwards,"277,0,0"
move 278 degree downwards,"278,0,0"
move 279 degree downwards,"279,0,0"
move 280 degree downwards,"280,0,0"
move 281 degree downwards,"281,0,0"
move 282 degree downwards,"282,0,0"
move 283 degree downwards,"283,0,0"
move 284 degree downwards,"284,0,0"
move 285 degree downwards,"285,0,0"
move 286 degree downwards,"286,0,0"
move 287 degree downwards,"287,0,0"
move 288 degree downwards,"288,0,0"
move 289 degree downwards,"289,0,0"
move 290 degree downwards,"290,0,0"
move 291 degree downwards,"291,0,0"
move 292 degree downwards,"292,0,0"
move 293 degree downwards,"293,0,0"
move 294 degree downwards,"294,0,0"
move 295 degree downwards,"295,0,0"
move 296 degree downwards,"296,0,0"
move 297 degree downwards,"297,0,0"
move 298 degree downwards,"298,0,0"
move 299 degree downwards,"299,0,0"
move 300 degree downwards,"300,0,0"
move 301 degree downwards,"301,0,0"
move 302 degree downwards,"302,0,0"
move 303 degree downwards,"303,0,0"
move 304 degree downwards,"304,0,0"
move 305 degree downwards,"305,0,0"
move 306 degree downwards,"306,0,0"
move 307 degree downwards,"307,0,0"
move 308 degree downwards,"308,0,0"
move 309 degree downwards,"309,0,0"
move 310 degree downwards,"310,0,0"
move 311 degree downwards,"311,0,0"
move 312 degree downwards,"312,0,0"
move 313 degree downwards,"313,0,0"
move 314 degree downwards,"314,0,0"
move 315 degree downwards,"315,0,0"
move 316 degree downwards,"316,0,0"
move 317 degree downwards,"317,0,0"
move 318 degree downwards,"318,0,0"
move 319 degree downwards,"319,0,0"
move 320 degree downwards,"320,0,0"
move 321 degree downwards,"321,0,0"
move 322 degree downwards,"322,0,0"
move 323 degree downwards,"323,0,0"
move 324 degree downwards,"324,0,0"
move 325 degree downwards,"325,0,0"
move 326 degree downwards,"326,0,0"
move 327 degree downwards,"327,0,0"
move 328 degree downwards,"328,0,0"
move 329 degree downwards,"329,0,0"
move 330 degree downwards,"330,0,0"
move 331 degree downwards,"331,0,0"
move 332 degree downwards,"332,0,0"
move 333 degree downwards,"333,0,0"
move 334 degree downwards,"334,0,0"
move 335 degree downwards,"335,0,0"
move 336 degree downwards,"336,0,0"
move 337 degree downwards,"337,0,0"
move 338 degree downwards,"338,0,0"
move 339 degree downwards,"339,0,0"
move 340 degree downwards,"340,0,0"
move 341 degree downwards,"341,0,0"
move 342 degree downwards,"342,0,0"
move 343 degree downwards,"343,0,0"
move 344 degree downwards,"344,0,0"
move 345 degree downwards,"345,0,0"
move 346 degree downwards,"346,0,0"
move 347 degree downwards,"347,0,0"
move 348 degree downwards,"348,0,0"
move 349 degree downwards,"349,0,0"
move 350 degree downwards,"350,0,0"
move 351 degree downwards,"351,0,0"
move 352 degree downwards,"352,0,0"
move 353 degree downwards,"353,0,0"
move 354 degree downwards,"354,0,0"
move 355 degree downwards,"355,0,0"
move 356 degree downwards,"356,0,0"
move 357 degree downwards,"357,0,0"
move 358 degree downwards,"358,0,0"
move 359 degree downwards,"359,0,0"
move 360 degree downwards,"360,0,0"
tilt towards your left by 1 degree,"0,0,1"
tilt towards your left by 2 degree,"0,0,2"
tilt towards your left by 3 degree,"0,0,3"
tilt towards your left by 4 degree,"0,0,4"
tilt towards your left by 5 degree,"0,0,5"
tilt towards your left by 6 degree,"0,0,6"
tilt towards your left by 7 degree,"0,0,7"
tilt towards your left by 8 degree,"0,0,8"
tilt towards your left by 9 degree,"0,0,9"
tilt towards your left by 10 degree,"0,0,10"
tilt towards your left by 11 degree,"0,0,11"
tilt towards your left by 12 degree,"0,0,12"
tilt towards your left by 13 degree,"0,0,13"
tilt towards your left by 14 degree,"0,0,14"
tilt towards your left by 15 degree,"0,0,15"
tilt towards your left by 16 degree,"0,0,16"
tilt towards your left by 17 degree,"0,0,17"
tilt towards your left by 18 degree,"0,0,18"
tilt towards your left by 19 degree,"0,0,19"
tilt towards your left by 20 degree,"0,0,20"
tilt towards your left by 21 degree,"0,0,21"
tilt towards your left by 22 degree,"0,0,22"
tilt towards your left by 23 degree,"0,0,23"
tilt towards your left by 24 degree,"0,0,24"
tilt towards your left by 25 degree,"0,0,25"
tilt towards your left by 26 degree,"0,0,26"
tilt towards your left by 27 degree,"0,0,27"
tilt towards your left by 28 degree,"0,0,28"
tilt towards your left by 29 degree,"0,0,29"
tilt towards your left by 30 degree,"0,0,30"
tilt towards your left by 31 degree,"0,0,31"
tilt towards your left by 32 degree,"0,0,32"
tilt towards your left by 33 degree,"0,0,33"
tilt towards your left by 34 degree,"0,0,34"
tilt towards your left by 35 degree,"0,0,35"
tilt towards your left by 36 degree,"0,0,36"
tilt towards your left by 37 degree,"0,0,37"
tilt towards your left by 38 degree,"0,0,38"
tilt towards your left by 39 degree,"0,0,39"
tilt towards your left by 40 degree,"0,0,40"
tilt towards your left by 41 degree,"0,0,41"
tilt towards your left by 42 degree,"0,0,42"
tilt towards your left by 43 degree,"0,0,43"
tilt towards your left by 44 degree,"0,0,44"
tilt towards your left by 45 degree,"0,0,45"
tilt towards your left by 46 degree,"0,0,46"
tilt towards your left by 47 degree,"0,0,47"
tilt towards your left by 48 degree,"0,0,48"
tilt towards your left by 49 degree,"0,0,49"
tilt towards your left by 50 degree,"0,0,50"
tilt towards your left by 51 degree,"0,0,51"
tilt towards your left by 52 degree,"0,0,52"
tilt towards your left by 53 degree,"0,0,53"
tilt towards your left by 54 degree,"0,0,54"
tilt towards your left by 55 degree,"0,0,55"
tilt towards your left by 56 degree,"0,0,56"
tilt towards your left by 57 degree,"0,0,57"
tilt towards your left by 58 degree,"0,0,58"
tilt towards your left by 59 degree,"0,0,59"
tilt towards your left by 60 degree,"0,0,60"
